epoch,train_loss,train_mae,train_rmse,train_r2,val_loss,val_mae,val_rmse,val_r2,is_best,early_stopped
1,0.7300173755614988,1.14028000831604,1.4604642376881538,-3.149491786956787,0.6222531974315644,1.025202989578247,1.3757832637081107,-385.69805908203125,True,False
2,0.7016968188747283,1.1037882566452026,1.397113066320007,-2.230045795440674,0.5018907487392426,0.9135713577270508,1.131558322514258,-2.1075398921966553,True,False
3,0.4954573026587886,0.8682653307914734,1.1725641894308265,-0.7941775321960449,0.5170844972133637,0.9018431901931763,1.2023481362741832,-8.105650901794434,True,False
4,0.5257891459811118,0.900506854057312,1.1951087329189531,-1.797569751739502,0.38461668193340304,0.7156991362571716,1.049889906152349,-0.9263061285018921,True,False
5,0.49754267137858177,0.8654921650886536,1.1751997514120713,-0.7583876848220825,0.5715678632259369,0.9510266184806824,1.2475820520513459,-0.9431661367416382,False,False
6,0.546289048367931,0.9299769401550293,1.2028491707234414,-0.9524751901626587,0.5333490908145905,0.9084060192108154,1.2219330229970606,-0.9437367916107178,False,False
7,0.44361864474992596,0.7978771328926086,1.106090087970783,-0.5884062051773071,0.5435164630413055,0.8996912240982056,1.2672455385136743,-1.8899672031402588,False,False
8,0.4943294623686421,0.8544696569442749,1.1652328445163642,-1.1481311321258545,0.5508781492710113,0.8993884921073914,1.2431838160621296,-1.4884026050567627,False,False
9,0.44300717644153104,0.7903390526771545,1.096513200523005,-0.5567525625228882,0.4692697137594223,0.8466624021530151,1.1202535105647915,-0.4821441173553467,False,False
10,0.4913734942674637,0.8583472371101379,1.135732373550274,-0.7837716341018677,0.4944217622280121,0.9324514865875244,1.0758490935120981,-1.898082971572876,False,False
11,0.5246545105211197,0.899246335029602,1.1882869722829223,-0.5354709625244141,0.411560395359993,0.7674306035041809,0.9999564876626522,-0.18474304676055908,False,False
12,0.4513422159417983,0.8151035904884338,1.0886864208485671,-1.2020518779754639,0.37995106875896456,0.7453699111938477,0.9897326641178485,-0.4586660861968994,False,False
13,0.43310249404561135,0.7910557985305786,1.069641459814606,-0.7616151571273804,0.3910615622997284,0.7313449382781982,0.963021569314486,0.099681556224823,False,False
14,0.6432650800674192,1.0132778882980347,1.331932131304072,-0.6467419862747192,0.6947023272514343,1.1207315921783447,1.3132802369830363,-1224296.125,False,False
15,0.6916562712961628,1.0898959636688232,1.3962106289687282,-15.724117279052734,0.6259941637516022,1.0429233312606812,1.3597790347837768,-152458560.0,False,False
16,0.641304119940727,1.0562427043914795,1.288905833578719,-63.51671600341797,0.6165815532207489,1.042287826538086,1.328785989871455,-121672240.0,False,False
17,0.65730531705964,1.0648921728134155,1.343943515416593,-57.95807647705078,0.6350779294967651,1.0472670793533325,1.3825954547094974,-13882730.0,False,False
18,0.645178206505314,1.060930609703064,1.3150360945907906,-53.44882583618164,0.6335658490657806,1.046407699584961,1.379279758776065,-2860155.25,False,False
19,0.6643389434583725,1.0839494466781616,1.3260632387590614,-61.9361572265625,0.6159849286079406,1.0419325828552246,1.3277178420731888,-1014012.0,False,False
20,0.6423034028660867,1.0358530282974243,1.3362233263285004,-83.00421905517578,0.6222027480602265,1.041543960571289,1.3499455564611635,-1060060.5,False,False
21,0.6584652820902486,1.0751855373382568,1.3218394371641804,-64.43379211425781,0.6024223983287811,1.002616286277771,1.3653052315722596,-41.09650421142578,False,False
22,0.5716877781575725,0.9477868676185608,1.2561970163435927,-16.73065948486328,0.4379942148923874,0.8032568097114563,1.1236307500551426,-5.412602424621582,False,False
23,0.434640028784352,0.8034343719482422,1.0656225657505187,-1.4606866836547852,0.5981928586959839,0.9633591175079346,1.2663919456281227,-1.7067155838012695,False,False
24,0.43204557991796927,0.7954856753349304,1.0598111068015443,-0.6852749586105347,0.5108377277851105,0.8431439399719238,1.1991074103444481,-1.320490837097168,False,False
25,0.4458511168918302,0.8113753199577332,1.0945423525914912,-0.6352263689041138,0.4067946434020996,0.7563650012016296,1.033676356375887,-0.31794047355651855,False,False
26,0.41893535708227464,0.784356415271759,1.0597580703820415,-0.6165157556533813,0.5127007573843002,0.8713172674179077,1.1696862188806634,-1.7974696159362793,False,False
27,0.39554580132807454,0.7572469115257263,1.0234553794172672,-0.2868666648864746,0.5294756114482879,0.857688307762146,1.1722285436748061,-0.5639240741729736,False,False
28,0.4385679426693147,0.7817780375480652,1.0933851996094681,-0.7532116174697876,0.528994882106781,0.8934342861175537,1.1592093048554168,-1.018322467803955,False,False
29,0.38920256110929674,0.7461616396903992,0.9870705709012094,-0.17810940742492676,0.590237945318222,0.9372616410255432,1.2822225647607615,-0.793637752532959,False,False
30,0.3637436462506171,0.7121627330780029,0.9545469152451771,0.00948554277420044,0.5618869066238403,0.896024227142334,1.2204883600138599,-0.15815234184265137,False,False
31,0.3445584254880105,0.6949558854103088,0.925209190581853,0.21907228231430054,0.49045624732971194,0.8342794179916382,1.112758312882496,-0.527360200881958,False,False
32,0.3255431149755755,0.6639418005943298,0.9062817666635763,0.14368140697479248,0.45551046431064607,0.8070417046546936,1.0836973067940538,-0.39748990535736084,False,False
33,0.30654005670259077,0.6354606747627258,0.8799526851570383,0.1879475712776184,0.5398207604885101,0.8780859112739563,1.183061435964798,-0.27922523021698,False,False
34,0.3079914102150548,0.6382013559341431,0.8973976088004649,0.2481926679611206,0.43404141664505,0.7602044939994812,1.0536321941152302,-0.18784594535827637,False,False
35,0.27263790993921216,0.5792073607444763,0.8598605778146385,0.35371220111846924,0.47446969151496887,0.8114746809005737,1.1100730311794815,-0.1456202268600464,False,False
36,0.3008093233070066,0.6218667030334473,0.8523630351569306,0.42943453788757324,0.4528211921453476,0.756056010723114,1.0865776864483454,-0.022401809692382812,False,False
