k-mer,unique_motifs,total_windows,total_occurrences,mean_frequency,max_frequency
2,380,5125,5125,0.0026315789473684206,0.01795121951219512
3,1517,4768,4768,0.0006591957811470006,0.0050335570469798654
4,1737,4411,4411,0.0005757052389176741,0.002720471548401723
