epoch,train_loss,train_mae,train_rmse,train_r2,val_loss,val_mae,val_rmse,val_r2,is_best,early_stopped
1,0.8038642608350323,1.2203034162521362,1.500618250909934,-4.62221097946167,0.6133361101150513,1.0556482076644897,1.2830121088326223,-6316.15234375,True,False
2,0.6655166307764668,1.0747328996658325,1.335085993436719,-6.036286354064941,0.7979343652725219,1.1885817050933838,1.6414494214197475,-86.75801849365234,False,False
3,0.6171986604890516,1.005995512008667,1.296219855595343,-5.179323196411133,0.6067115187644958,0.9795557260513306,1.3514145786726945,-1.9162249565124512,True,False
4,0.5185626677928432,0.912855327129364,1.1725287076449193,-1.8447768688201904,0.6295873522758484,1.006833791732788,1.390723321417754,-3.3875699043273926,False,False
5,0.5272952664283014,0.8865187168121338,1.2175059204427596,-1.7671804428100586,0.7035673499107361,1.0826400518417358,1.4764348535010579,-4.497532367706299,False,False
6,0.4938138420543363,0.8611879944801331,1.1521832370498133,-0.5395296812057495,0.5371721744537353,0.9122917652130127,1.2059758581430597,-0.8429807424545288,True,False
7,0.4904705204309956,0.8546532392501831,1.164390159422251,-1.0114140510559082,0.46556336879730226,0.7991392016410828,1.119371107511073,-1.291517734527588,True,False
8,0.46837303090480065,0.8371608853340149,1.1231381055845284,-1.4106287956237793,0.44673078656196596,0.8391435146331787,1.0369420033259906,-1.210843563079834,False,False
9,0.5266138175802846,0.8844988346099854,1.2407894304210247,-1.2814123630523682,0.5742854714393616,0.977202832698822,1.2660625784505264,-8.856659889221191,False,False
10,0.514507437425275,0.8953484296798706,1.1628391058404328,-1.5933527946472168,0.47026309967041013,0.8217386603355408,1.1241522349813815,0.022607147693634033,False,False
11,0.48370660120441067,0.8514488935470581,1.11623678235882,-0.5907371044158936,0.45780152678489683,0.8396466374397278,1.070080363027657,-1.3480432033538818,False,False
12,0.4178718333282778,0.761484682559967,1.0418038023642189,-0.5888780355453491,0.3889626652002335,0.7385520339012146,0.9756813040889646,0.0719674825668335,True,False
13,0.40607331188455703,0.7557721734046936,1.0227664174189113,-0.3255157470703125,0.4474767506122589,0.812610924243927,1.0613335770406236,-0.7625640630722046,False,False
14,0.37095026053007574,0.7114818692207336,0.965981958823029,0.08139276504516602,0.37233651578426363,0.7268026471138,0.952937310921898,-0.0057266950607299805,True,False
15,0.39177586018077787,0.733173131942749,0.9911296942728766,-0.20892202854156494,0.37588271498680115,0.7197496294975281,0.950343184221936,-0.05331432819366455,True,False
16,0.41885125516883787,0.7624421715736389,1.0597780366839362,-0.23424458503723145,0.502000242471695,0.8577947020530701,1.1919823926322897,-1.8799772262573242,False,False
17,0.42405134295263597,0.788011372089386,1.0462112600065894,-0.29975080490112305,0.41670026183128356,0.7620677351951599,1.0057697145074016,0.00941377878189087,False,False
18,0.37009064829157245,0.7169076204299927,0.9673472677717418,-0.1075674295425415,0.369047948718071,0.7030419707298279,0.9381794374798152,0.12964868545532227,True,False
19,0.35870464867161167,0.6968376636505127,0.9392300854527045,0.03046250343322754,0.3708016395568848,0.7084311246871948,0.948185267836986,0.1436535120010376,False,False
20,0.3776766854909159,0.7290030717849731,0.9862555146637307,-0.11292338371276855,0.42211920619010923,0.7602972388267517,0.9951737886603202,-0.286507248878479,False,False
21,0.3690056877751504,0.7119663953781128,0.9654285650846797,-0.017052173614501953,0.515167498588562,0.8597898483276367,1.1623691813377344,-0.2963578701019287,False,False
22,0.35686290360266165,0.7100188732147217,0.9495844509379857,0.05181169509887695,0.41730316281318663,0.7607793211936951,1.0206886824802526,-0.3297840356826782,False,False
23,0.3194569640101925,0.6619120240211487,0.8712603833032714,0.24784159660339355,0.46160011887550356,0.8015433549880981,1.0420413233604315,0.03862422704696655,False,False
24,0.31220494547197897,0.6582949161529541,0.8550745086105501,0.21652507781982422,0.45027885437011717,0.7825689315795898,1.0569219020946534,0.19034874439239502,False,False
25,0.2868382117200282,0.6126904487609863,0.8382590313159552,0.40617620944976807,0.37698930501937866,0.733692467212677,0.9560745128099587,0.03758668899536133,False,False
26,0.30832481985130616,0.6304287910461426,0.8646529334369114,0.1873323917388916,0.42137027382850645,0.77761310338974,0.9971657463529398,0.1409820318222046,False,False
