epoch,train_loss,train_mse,train_mae,train_rmse,train_r2,train_mape,train_spearman,train_pearson,train_max_error,train_median_ae,train_explained_variance,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_mse,val_mae,val_rmse,val_r2,val_mape,val_spearman,val_pearson,val_max_error,val_median_ae,val_explained_variance,val_accuracy,val_precision,val_recall,val_f1,is_best,early_stopped
1,0.8376838425944623,2.40177059173584,1.2665046453475952,1.549764689149885,-0.42597758769989014,30904.4140625,-0.0749313945305769,-0.07498772442340851,4.32155179977417,1.0604157447814941,-0.39173126220703125,0.2556390977443609,0.2346239139128222,0.2567245488593803,0.2202870614043344,0.7093161877832914,2.157947540283203,1.1008855104446411,1.4689954187413938,-0.2678260803222656,1.6869243383407593,-0.008371234792299294,0.24959208071231842,3.88265061378479,0.8263230323791504,0.004636645317077637,0.3157894736842105,0.10526315789473684,0.3333333333333333,0.16,True,False
2,0.7168777410249064,1.9157205820083618,1.1308274269104004,1.3840955826850838,-0.13740038871765137,16654.728515625,0.006167797764592315,-0.0043568420223891735,4.5751953125,1.0448830127716064,-0.1274242401123047,0.34210526315789475,0.33666598929756825,0.3438883214164113,0.2668939313234615,0.730239516810367,2.2631101608276367,1.1189582347869873,1.5043637062983262,-0.3296107053756714,1.7690445184707642,-0.059663368584431616,0.24958235025405884,3.9490222930908203,0.8017441034317017,0.00024366378784179688,0.3157894736842105,0.10526315789473684,0.3333333333333333,0.16,False,False
3,0.7015305161476135,1.9323943853378296,1.1190067529678345,1.3901058899730732,-0.1472998857498169,21034.724609375,-0.027905084712373726,-0.09129688888788223,4.239328384399414,0.9486225843429565,-0.10844552516937256,0.3383458646616541,0.29281874039938555,0.34069628872999663,0.20170922006969608,0.6521844016878229,1.7934861183166504,1.0830210447311401,1.3392110058973719,-0.053699612617492676,1.3141614198684692,-0.1768807651222336,-0.24959668517112732,3.5011236667633057,0.8913227915763855,-0.00025463104248046875,0.3157894736842105,0.10526315789473684,0.3333333333333333,0.16,True,False
4,0.6756194440045751,1.8425006866455078,1.0831388235092163,1.3573874489789228,-0.09392821788787842,24364.533203125,-0.054059327158600706,-0.03429185599088669,4.141465663909912,0.9527993202209473,-0.04024779796600342,0.33458646616541354,0.3324883819180397,0.3370360912495744,0.17973491886535364,0.6508435418731288,1.7687768936157227,1.0851329565048218,1.329953718599156,-0.03918266296386719,1.2787766456604004,0.14390414180593,0.24961160123348236,3.4582009315490723,0.9142088890075684,8.827447891235352e-05,0.3157894736842105,0.10526315789473684,0.3333333333333333,0.16,False,False
5,0.6658611808504377,1.7513434886932373,1.089699625968933,1.3233833491068403,-0.039806365966796875,14056.265625,0.0314698913802639,0.019263355061411858,4.089807510375977,0.9572474360466003,-0.013909459114074707,0.3308270676691729,0.11027568922305764,0.3333333333333333,0.1657250470809793,0.6571995082654452,1.8477498292922974,1.0785067081451416,1.359319619990934,-0.08558034896850586,1.3806623220443726,-0.07965228839857282,0.24958989024162292,3.582152843475342,0.8717554807662964,0.0003262162208557129,0.3157894736842105,0.10526315789473684,0.3333333333333333,0.16,True,False
6,0.6593122011736819,1.7425084114074707,1.0752907991409302,1.3200410642883313,-0.0345609188079834,17076.474609375,0.04703141059683726,0.0770537480711937,4.0985918045043945,0.9160794019699097,-0.0006103515625,0.3308270676691729,0.11027568922305764,0.3333333333333333,0.1657250470809793,0.6505975095849288,1.767902135848999,1.084852695465088,1.3296248101810522,-0.03866863250732422,1.2790452241897583,0.16062069091477765,0.24959427118301392,3.4587016105651855,0.9142088294029236,0.0006773471832275391,0.3157894736842105,0.10526315789473684,0.3333333333333333,0.16,False,False
7,0.6867403148260331,1.8416335582733154,1.1144189834594727,1.357068000607676,-0.09341347217559814,17385.474609375,-0.04622516877398855,-0.05903562530875206,4.30700159072876,0.964585542678833,-0.053078651428222656,0.3308270676691729,0.2769328263624842,0.33329077289751446,0.17256817256817258,0.6495219657295629,1.7380268573760986,1.0866509675979614,1.3183424658927203,-0.02111649513244629,1.233580231666565,-0.12211661962647816,0.24959205090999603,3.4041571617126465,0.9526959657669067,0.003134608268737793,0.3157894736842105,0.10526315789473684,0.3333333333333333,0.16,False,False
8,0.6656622187535566,1.800926685333252,1.0807874202728271,1.3419860972950697,-0.06924498081207275,14571.2578125,0.0009073009995363482,-0.0024166861549019814,4.125485897064209,0.9069864749908447,-0.02586686611175537,0.3308270676691729,0.11027568922305764,0.3333333333333333,0.1657250470809793,0.6544836916421589,1.835115909576416,1.0758334398269653,1.354664500744157,-0.07815778255462646,1.3788979053497314,0.3788408759160113,0.24959346652030945,3.5818521976470947,0.8717554211616516,0.006411075592041016,0.3157894736842105,0.10526315789473684,0.3333333333333333,0.16,True,False
9,0.6749661972648219,1.795058250427246,1.0900359153747559,1.3397978393874377,-0.06576073169708252,12067.6669921875,-0.049230483785453465,-0.057501018047332764,4.268399238586426,1.030625343322754,-0.0325620174407959,0.3308270676691729,0.11027568922305764,0.3333333333333333,0.1657250470809793,0.6467733790999964,1.743985652923584,1.082079529762268,1.3206004895211814,-0.024617314338684082,1.2633693218231201,-0.04554460244326007,0.24959249794483185,3.4421420097351074,0.914711058139801,0.008824467658996582,0.3157894736842105,0.10526315789473684,0.3333333333333333,0.16,False,False
10,0.6591151186398098,1.7253451347351074,1.070809245109558,1.3135239376330785,-0.024370670318603516,6730.15576171875,0.0563942085783492,0.05321215093135834,4.08435583114624,0.9979608058929443,-0.005780577659606934,0.3308270676691729,0.11027568922305764,0.3333333333333333,0.1657250470809793,0.6738135704868718,1.97466242313385,1.075784683227539,1.4052268226638183,-0.16014337539672852,1.5538392066955566,-0.25678689639630253,0.2495923638343811,3.766836643218994,0.8502517938613892,0.021969079971313477,0.3157894736842105,0.10526315789473684,0.3333333333333333,0.16,True,False
